Generated by pymatgen.io.lammps.data.LammpsData

192  atoms

  4  atom types

0.000000 12.977995  xlo xhi
0.000000 13.044509  ylo yhi
0.000000 13.040655  zlo zhi
0.039426 0.039960 0.006998  xy xz yz

Masses

1    6.94100
2  138.90547
3   91.22400
4   15.99940

Atoms

1    1 0.0000  3.898531  1.129266  5.449604
2    1 0.0000 10.427230  7.655207 11.970123
3    1 0.0000 12.994156  9.788325  1.727674
4    1 0.0000  6.505314  3.269525  8.247987
5    1 0.0000  3.242211  4.968560  0.023986
6    1 0.0000  9.770849 11.494365  6.544417
7    1 0.0000  4.905226 13.044206  3.327969
8    1 0.0000 11.394421  6.525580  9.848187
9    1 0.0000  1.640744  0.051675  9.799501
10   1 0.0000  8.129463  6.570416  3.279215
11   1 0.0000  8.856006  7.670324  1.064945
12   1 0.0000  5.587610  7.897181 10.619320
13   1 0.0000 10.737344  2.109043 12.521222
14   1 0.0000  5.224490  4.195715  0.983747
15   1 0.0000  4.185479  7.404750  8.495825
16   1 0.0000  2.285867  5.700320  2.159900
17   1 0.0000  7.164095  8.692651  4.406206
18   1 0.0000  5.825333  2.169974  2.230580
19   1 0.0000  0.868315 10.861992  8.728475
20   1 0.0000  0.974838  2.730808  5.376394
21   1 0.0000 10.941614  8.871250  0.943380
22   1 0.0000  5.633291 10.830587  4.426789
23   1 0.0000  2.325347  7.346981  4.654610
24   1 0.0000  4.257698  5.799993 10.960182
25   1 0.0000  1.997948 10.748425  0.957792
26   1 0.0000 11.740885  4.073350  5.467313
27   1 0.0000  0.921965  5.226658  4.155671
28   1 0.0000 12.038225 11.928015  2.459638
29   1 0.0000  7.484085  1.164601  9.073615
30   1 0.0000  2.641683 11.999220 11.973435
31   1 0.0000 10.581918  5.455227  7.616845
32   1 0.0000  7.716870 10.710921  5.627809
33   1 0.0000  2.031308  8.713660  7.344298
34   1 0.0000  2.367327  1.151609  7.585200
35   1 0.0000 12.036945  1.371337  4.098951
36   1 0.0000  4.248317  8.627818  6.000837
37   1 0.0000 11.753202 10.721627  7.504040
38   1 0.0000 10.634733  0.878985  1.975559
39   1 0.0000  8.814477 12.226132  8.680361
40   1 0.0000  0.675297  2.173887 10.926557
41   1 0.0000 12.354174  8.695889  8.750764
42   1 0.0000  7.317502  4.336049  2.208134
43   1 0.0000  7.503304  9.256698 11.896795
44   1 0.0000  4.452784  2.352475  7.463601
45   1 0.0000 12.122459  4.311867 10.947065
46   1 0.0000  8.814506  0.828306 11.174943
47   1 0.0000 10.746360 12.318729  4.439856
48   1 0.0000  8.487252  4.229596  7.478082
49   1 0.0000  5.291442 10.599066 11.987681
50   1 0.0000  7.450581 11.752504 10.676069
51   1 0.0000  5.549458  5.409192  8.979865
52   1 0.0000  0.994950  7.683120  2.553255
53   1 0.0000  9.091007  5.473478  5.453194
54   1 0.0000  4.092787 11.973924  1.096660
55   1 0.0000  1.227935  4.192094 12.148047
56   1 0.0000  8.480501  2.188041  0.824120
57   2 0.0000  6.515488  3.278954 11.409863
58   2 0.0000 13.004328  9.797646  4.889608
59   2 0.0000  6.522016  9.803338  8.235427
60   2 0.0000 12.971167  3.277566  1.715101
61   2 0.0000  3.265341 11.413845  6.569760
62   2 0.0000  9.714779  4.888130  0.049518
63   2 0.0000  9.770910  8.265882  6.581444
64   2 0.0000  3.242213  1.740003  0.061082
65   2 0.0000 11.254929  6.540156  3.295454
66   2 0.0000  4.766062  0.021467  9.815880
67   2 0.0000  8.252279  6.560549  9.806608
68   2 0.0000  1.723580  0.034773  3.286231
69   2 0.0000 12.979223  3.294550  8.166126
70   2 0.0000  6.489896  9.813369  1.645819
71   2 0.0000 13.035476  9.830795 11.540228
72   2 0.0000  6.506793  3.304962  5.019782
73   2 0.0000  3.251406  8.132339  0.032493
74   2 0.0000  9.740610  1.613517  6.552713
75   2 0.0000  9.746201 11.478410  0.035677
76   2 0.0000  3.257326  4.959717  6.555950
77   2 0.0000  7.991436  0.017890  3.296132
78   2 0.0000  1.542058  6.543642  9.816391
79   2 0.0000 11.476618  0.010777  9.833545
80   2 0.0000  4.987283  6.529426  3.313262
81   3 0.0000  9.768483  3.217537  9.842006
82   3 0.0000  9.720801  9.835593  3.329751
83   3 0.0000  3.252380  9.783629  9.838350
84   3 0.0000  3.301533  3.279431  3.330346
85   3 0.0000  6.543520  6.569927 13.011866
86   3 0.0000  6.457749  0.053505  6.590937
87   3 0.0000 12.965498  6.564150  6.535877
88   3 0.0000  0.035863  0.049742  0.037674
89   3 0.0000  3.279343  9.736202  3.321671
90   3 0.0000  3.232117  3.316859  9.850014
91   3 0.0000  9.701575  3.257899  3.318046
92   3 0.0000  9.830250  9.805060  9.850530
93   3 0.0000 12.992844  0.044118  6.491445
94   3 0.0000 12.946220  6.572326  0.070644
95   3 0.0000  6.436823  0.038470  0.015704
96   3 0.0000  6.564620  6.575463  6.558126
97   4 0.0000  7.857092  3.992024  9.389622
