# Time-averaged data for fix 2
# TimeStep v_simtime c_msd_type1[1] c_msd_type1[3]
10 0.01 0.00919207 -0.0701047
20 0.02 0.0399813 -0.0179664
30 0.03 0.0462158 0.14743
40 0.04 0.0444499 0.154702
50 0.05 0.0553748 -0.0692316
60 0.06 0.0692028 -0.0341966
70 0.07 0.0852611 0.0689501
80 0.08 0.104227 0.0837976
90 0.09 0.113675 0.281926
100 0.1 0.119192 0.74623
110 0.11 0.130985 1.3049
120 0.12 0.145317 1.51987
130 0.13 0.162469 1.0772
140 0.14 0.182917 0.694616
150 0.15 0.194534 0.631774
160 0.16 0.195781 0.656568
170 0.17 0.198433 0.614135
180 0.18 0.2003 0.532546
190 0.19 0.201218 0.491263
200 0.2 0.202011 0.510115
210 0.21 0.198268 0.522475
220 0.22 0.19403 0.492011
230 0.23 0.18907 0.42982
240 0.24 0.182738 0.469177
250 0.25 0.169358 0.599839
260 0.26 0.151814 0.748983
270 0.27 0.141881 0.750978
280 0.28 0.13633 0.729444
290 0.29 0.130278 0.734528
300 0.3 0.127163 0.566244
310 0.31 0.124648 0.517323
320 0.32 0.124052 0.529636
330 0.33 0.12477 0.574273
340 0.34 0.123089 0.716238
350 0.35 0.125738 0.998494
360 0.36 0.135034 1.23178
370 0.37 0.151921 1.12888
380 0.38 0.161299 0.887236
390 0.39 0.157767 0.664165
400 0.4 0.149313 0.320923
410 0.41 0.136423 0.118877
420 0.42 0.124961 0.193998
430 0.43 0.11941 0.175702
440 0.44 0.117727 0.071153
450 0.45 0.119119 0.202868
460 0.46 0.124026 0.139659
470 0.47 0.128868 0.0425975
480 0.48 0.138472 0.113538
490 0.49 0.153394 0.212196
500 0.5 0.17042 0.273922
510 0.51 0.179956 0.379229
520 0.52 0.177776 0.471629
530 0.53 0.176225 0.510735
540 0.54 0.178063 0.596272
550 0.55 0.177851 0.661064
560 0.56 0.17069 0.796555
570 0.57 0.168734 0.965666
580 0.58 0.184551 0.777087
590 0.59 0.217892 0.577054
600 0.6 0.25006 0.652267
610 0.61 0.265915 0.928651
620 0.62 0.264513 1.0737
630 0.63 0.25427 0.875315
640 0.64 0.234146 0.503792
650 0.65 0.208917 0.221046
660 0.66 0.186844 0.0486709
670 0.67 0.16668 0.0783885
680 0.68 0.151487 0.321437
690 0.69 0.154138 0.434941
700 0.7 0.168715 0.406601
710 0.71 0.176043 0.382872
720 0.72 0.176826 0.289628
730 0.73 0.17169 0.217581
740 0.74 0.171449 0.296512
750 0.75 0.175251 0.445085
760 0.76 0.182419 0.630448
770 0.77 0.188865 0.645881
780 0.78 0.189056 0.477204
790 0.79 0.184222 0.292856
800 0.8 0.17373 0.312229
810 0.81 0.16329 0.322234
820 0.82 0.153727 0.350487
830 0.83 0.152399 0.562839
840 0.84 0.151361 0.715616
850 0.85 0.140976 0.836321
860 0.86 0.126784 0.962666
870 0.87 0.11891 0.871677
880 0.88 0.120839 0.591948
890 0.89 0.120773 0.33537
900 0.9 0.122906 0.250853
910 0.91 0.128518 0.269525
920 0.92 0.129172 0.292898
930 0.93 0.127437 0.562785
940 0.94 0.12957 1.08272
950 0.95 0.142917 1.38699
960 0.96 0.152489 1.43241
970 0.97 0.154927 1.1992
980 0.98 0.153901 0.797394
990 0.99 0.146679 0.540694
1000 1 0.140153 0.330938
1010 1.01 0.139562 0.120551
1020 1.02 0.142596 -0.0748213
1030 1.03 0.142813 -0.111566
1040 1.04 0.143833 -0.00359058
1050 1.05 0.141269 0.121509
1060 1.06 0.132698 0.279137
1070 1.07 0.126272 0.404544
1080 1.08 0.131496 0.598858
1090 1.09 0.149834 0.645131
1100 1.1 0.164522 0.757547
1110 1.11 0.172546 0.979203
1120 1.12 0.185978 1.07933
1130 1.13 0.182663 1.08253
1140 1.14 0.170501 0.93076
1150 1.15 0.166353 0.729316
1160 1.16 0.165357 0.622762
1170 1.17 0.166157 0.602244
1180 1.18 0.165006 0.608837
1190 1.19 0.163272 0.608533
1200 1.2 0.164053 0.572107
1210 1.21 0.158051 0.637321
1220 1.22 0.153573 0.801679
1230 1.23 0.160132 0.768761
1240 1.24 0.177984 0.830032
1250 1.25 0.20626 1.0258
1260 1.26 0.243828 1.14024
1270 1.27 0.285377 1.1317
1280 1.28 0.304845 1.10819
1290 1.29 0.306206 1.09272
1300 1.3 0.30921 1.10823
1310 1.31 0.305871 1.15748
1320 1.32 0.297245 1.06876
1330 1.33 0.297404 0.893086
1340 1.34 0.292016 0.782631
1350 1.35 0.278953 0.722958
1360 1.36 0.26685 0.683463
1370 1.37 0.260592 0.641508
1380 1.38 0.264555 0.602323
1390 1.39 0.262083 0.596096
1400 1.4 0.255763 0.649179
1410 1.41 0.238513 0.83406
1420 1.42 0.220809 0.97384
1430 1.43 0.213246 0.877337
1440 1.44 0.207825 0.94675
1450 1.45 0.202711 1.28673
1460 1.46 0.207038 1.67241
1470 1.47 0.224561 1.9776
1480 1.48 0.235342 2.69754
1490 1.49 0.23153 3.58577
1500 1.5 0.225379 3.80058
1510 1.51 0.219785 3.41489
1520 1.52 0.218664 3.02903
1530 1.53 0.234488 2.9166
1540 1.54 0.256963 3.2392
1550 1.55 0.279646 3.60874
1560 1.56 0.302575 3.61945
1570 1.57 0.331256 3.17396
1580 1.58 0.345784 2.88295
1590 1.59 0.339807 2.77984
1600 1.6 0.333309 2.43235
1610 1.61 0.337199 1.86021
1620 1.62 0.340382 1.43293
1630 1.63 0.333366 1.21395
1640 1.64 0.321866 1.23516
1650 1.65 0.310695 1.42797
1660 1.66 0.314049 1.45099
1670 1.67 0.326069 1.24613
1680 1.68 0.320929 1.13128
1690 1.69 0.293207 1.28183
1700 1.7 0.262763 1.47337
1710 1.71 0.240009 1.45067
1720 1.72 0.223774 1.30965
1730 1.73 0.215456 1.1396
1740 1.74 0.2034 1.32735
1750 1.75 0.190324 2.02618
1760 1.76 0.187078 2.94398
1770 1.77 0.185327 4.04468
1780 1.78 0.183112 4.81949
1790 1.79 0.186659 4.73773
1800 1.8 0.198066 3.99113
1810 1.81 0.201934 3.44138
1820 1.82 0.199312 3.30285
1830 1.83 0.203895 3.04861
1840 1.84 0.214227 2.67243
1850 1.85 0.216803 2.67408
1860 1.86 0.214314 2.99953
1870 1.87 0.220684 2.84183
1880 1.88 0.237669 2.25269
1890 1.89 0.268275 1.74366
1900 1.9 0.301369 1.60383
1910 1.91 0.32236 1.75817
1920 1.92 0.327767 2.13054
1930 1.93 0.322547 2.44021
1940 1.94 0.321285 2.29542
1950 1.95 0.315855 1.92324
1960 1.96 0.29778 1.7309
1970 1.97 0.273855 1.90816
1980 1.98 0.260546 2.10217
1990 1.99 0.278636 1.90797
2000 2 0.300242 1.76658
2010 2.01 0.308753 1.6686
2020 2.02 0.314251 1.5597
2030 2.03 0.321629 1.2693
2040 2.04 0.329552 0.982449
2050 2.05 0.333505 0.850027
2060 2.06 0.333167 0.795073
2070 2.07 0.329091 0.851431
2080 2.08 0.332369 0.978902
2090 2.09 0.347061 1.0063
2100 2.1 0.352982 0.941057
2110 2.11 0.342676 0.789768
2120 2.12 0.332037 0.727238
2130 2.13 0.330216 0.821948
2140 2.14 0.332301 1.00525
2150 2.15 0.347008 1.19599
2160 2.16 0.36641 1.41775
2170 2.17 0.368495 1.67505
2180 2.18 0.361556 1.85158
2190 2.19 0.361095 1.98264
2200 2.2 0.370232 2.08844
2210 2.21 0.378305 2.3387
2220 2.22 0.393425 2.39459
2230 2.23 0.409834 2.27792
2240 2.24 0.4197 2.2901
2250 2.25 0.434133 2.24944
2260 2.26 0.463738 2.12247
2270 2.27 0.511082 1.97136
2280 2.28 0.553107 1.93204
2290 2.29 0.577374 2.06703
2300 2.3 0.594003 2.20142
2310 2.31 0.609601 2.20278
2320 2.32 0.618786 2.05642
2330 2.33 0.624665 1.85116
2340 2.34 0.640861 1.73754
2350 2.35 0.667048 1.73935
2360 2.36 0.69115 1.83695
2370 2.37 0.723777 1.89392
2380 2.38 0.762827 1.7945
2390 2.39 0.797389 1.62499
2400 2.4 0.817663 1.54403
2410 2.41 0.827127 1.50003
2420 2.42 0.830525 1.45545
2430 2.43 0.826653 1.48422
2440 2.44 0.826141 1.60503
2450 2.45 0.839623 1.70138
2460 2.46 0.857241 1.75519
2470 2.47 0.865153 1.74856
2480 2.48 0.857493 1.66466
2490 2.49 0.83463 1.68988
2500 2.5 0.819822 1.86739
2510 2.51 0.832682 2.03074
2520 2.52 0.857322 2.09717
2530 2.53 0.87139 2.09739
2540 2.54 0.862281 2.13542
2550 2.55 0.830154 2.27025
2560 2.56 0.807308 2.51603
2570 2.57 0.813575 2.74124
2580 2.58 0.841159 2.77666
2590 2.59 0.86538 2.66847
2600 2.6 0.863592 2.49724
2610 2.61 0.837127 2.37652
2620 2.62 0.798621 2.42056
2630 2.63 0.75283 2.54043
2640 2.64 0.70792 2.61581
2650 2.65 0.677363 2.63806
2660 2.66 0.669854 2.65514
2670 2.67 0.673211 2.74813
2680 2.68 0.679299 2.83828
2690 2.69 0.670553 2.81012
2700 2.7 0.660128 2.73428
2710 2.71 0.664376 2.72267
2720 2.72 0.681359 2.70849
2730 2.73 0.703279 2.64094
2740 2.74 0.715032 2.66898
2750 2.75 0.713597 2.73022
2760 2.76 0.721993 2.67191
2770 2.77 0.749645 2.59679
2780 2.78 0.779889 2.56105
2790 2.79 0.80702 2.50431
2800 2.8 0.832249 2.42082
2810 2.81 0.847423 2.41993
2820 2.82 0.862506 2.4476
2830 2.83 0.879233 2.46954
2840 2.84 0.885081 2.44366
2850 2.85 0.88594 2.34766
2860 2.86 0.888149 2.18269
